country,year,sex,list,cause,cdr
USA,2007,1,short,4,328
USA,2007,1,short,5,218
USA,2007,1,short,6,340
USA,2007,1,short,7,2180
USA,2007,1,short,8,370
USA,2007,1,short,9,113
USA,2007,1,short,10,166
USA,2007,1,short,11,582
USA,2007,1,short,12,307
USA,2007,1,short,13,41
USA,2007,1,short,14,199
USA,2007,1,short,15,106
USA,2007,1,short,16,869
USA,2008,1,short,0,8208
USA,2008,1,short,1,245
USA,2008,1,short,2,2048
USA,2008,1,short,3,29
USA,2008,1,short,4,327
USA,2008,1,short,5,246
USA,2008,1,short,6,363
USA,2008,1,short,7,2178
USA,2008,1,short,8,363
USA,2008,1,short,9,104
USA,2008,1,short,10,175
USA,2008,1,short,11,619
USA,2008,1,short,12,314
USA,2008,1,short,13,41
USA,2008,1,short,14,198
USA,2008,1,short,15,102
USA,2008,1,short,16,856
USA,2009,1,short,0,8076
USA,2009,1,short,1,241
USA,2009,1,short,2,2041
USA,2009,1,short,3,29
USA,2009,1,short,4,326
USA,2009,1,short,5,250
USA,2009,1,short,6,361
USA,2009,1,short,7,2134
USA,2009,1,short,8,350
USA,2009,1,short,9,100
USA,2009,1,short,10,170
USA,2009,1,short,11,599
USA,2009,1,short,12,315
USA,2009,1,short,13,40
USA,2009,1,short,14,197
USA,2009,1,short,15,96
USA,2009,1,short,16,826
USA,2010,1,short,0,8108
USA,2010,1,short,1,231
USA,2010,1,short,2,2052
USA,2010,1,short,3,29
USA,2010,1,short,4,328
USA,2010,1,short,5,284
USA,2010,1,short,6,375
USA,2010,1,short,7,2119
USA,2010,1,short,8,349
USA,2010,1,short,9,100
USA,2010,1,short,10,159
USA,2010,1,short,11,606
USA,2010,1,short,12,319
USA,2010,1,short,13,40
USA,2010,1,short,14,204
USA,2010,1,short,15,89
USA,2010,1,short,16,824
USA,2011,1,short,0,8193
USA,2011,1,short,1,231
USA,2011,1,short,2,2045
USA,2011,1,short,3,30
USA,2011,1,short,4,349
USA,2011,1,short,5,314
USA,2011,1,short,6,384
USA,2011,1,short,7,2113
USA,2011,1,short,8,346
USA,2011,1,short,9,98
USA,2011,1,short,10,170
USA,2011,1,short,11,622
USA,2011,1,short,12,326
USA,2011,1,short,13,41
USA,2011,1,short,14,191
USA,2011,1,short,15,87
