country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1981,1,short,4,9,26354.27,21.69,1.54,4.88,0.43,15.26,38.57,67.69,83.33,121.49,201.15,285.21,643.49,1238.28,2174.98,3201.62,4006.13,4331.2,4079.52,5837.81,3306.74,2531.07,1821.07,710,599.05,110.95
USA,1981,1,short,4,10,20028.1,457.22,157.89,47.23,27.41,62.31,85.22,130.91,169.1,207.52,230.86,307.08,462.12,801.22,1075.61,1558.94,2026.48,2789.46,3553.86,5877.66,3317.47,2560.2,1851,709.19,581.43,127.76
USA,1981,1,short,4,11,54284.74,290.03,119.95,52,62.76,89.77,131.86,184.24,168.49,226.59,364.68,644.91,1472.26,2877.02,5290.37,8238.31,10432.49,10131.66,7126.92,6380.43,4348.69,2031.74,1632.55,399.19,344.22,54.97
USA,1981,1,short,4,12,40382.91,273.39,76.67,35.51,30.37,55.91,180.05,407.64,878.81,1308.67,1842.66,2502.38,3687.78,4512.51,4896.53,5115.73,4468.3,3866.68,2936.03,3307.28,2103.88,1203.4,943.39,260,235.65,24.36
USA,1981,1,short,4,13,3792.9,20,13.88,3.5,10.65,18.26,30.64,39.49,44.83,56.71,81.89,81.74,175.54,245.57,385.17,462.75,541.84,549.01,482.05,549.4,350.86,198.54,145.74,52.8,49.54,3.26
USA,1981,1,short,4,14,15410.09,176.32,13.11,13.55,11.86,26.54,68.55,105.47,104.68,159.5,154.84,239.92,390.95,649.31,1007.06,1480.48,2166.39,2468.32,2571.1,3602.13,2218.52,1383.61,982.38,401.24,353.05,48.18
USA,1981,1,short,4,15,23356.24,20766.59,585.64,153.2,130.75,192.19,179.36,156.02,136.95,128.4,93.5,106.98,120.29,137.61,91.78,101.26,98.33,81.47,43.41,52.52,28.88,23.63,14.36,9.27,5.01,4.26
USA,1981,1,short,4,16,115323.75,710.33,2266.61,1616.94,2227.08,11445.83,17136.75,14845.22,11469.03,7930.78,6175.68,5637.6,5754.6,5618.68,4881.86,4301.04,3926.05,3467.01,2751.89,3160.77,1987.75,1173.03,888.86,284.16,249.78,34.38
USA,1982,1,short,4,0,1056246,24160.32,4396.69,2713.41,3191.1,12510.12,18917.35,18271.16,17279.38,17359.86,20280.03,29572.41,48564,75346.42,104079.26,130175.4,145625.56,141158.39,114365.14,128280.01,79406.16,48873.85,37105.45,11768.4,10129.81,1638.59
USA,1982,1,short,4,1,11883.88,436.28,198.14,51.47,27.34,93.79,121.45,130.62,208.57,224.87,257.62,333.82,564.28,833.47,1101.77,1252.71,1552.68,1562.31,1285.42,1647.26,1017.24,630.02,456.59,173.42,150.57,22.85
USA,1982,1,short,4,2,243165.72,110.22,405.33,519.8,400.41,688.85,876.63,1120.02,1598.89,2402.85,3800.15,7084.14,13713.49,23181.34,32562.82,39456.75,39973.09,34224.16,22710.98,18335.8,12833.12,5502.68,4458.94,1043.74,936.65,107.09
USA,1982,1,short,4,3,3024.65,71.78,59.5,25.65,32.12,56.01,58.27,90.95,93.56,84.13,70.35,85.29,128.92,170.29,272.35,286.48,356.76,343.95,349.09,389.2,246.32,142.88,113.53,29.35,27.81,1.54
USA,1982,1,short,4,4,20792.25,205.33,98.42,79.43,76.65,104.02,147.97,205.81,290.4,347.49,450.02,609.25,941.86,1596.31,2096.08,2644.92,3051.83,3056.27,2326.14,2464.04,1503.08,960.96,742.78,218.18,184.4,33.77
USA,1982,1,short,4,5,9026.06,6.27,18.71,10.85,19.09,52.54,165.37,375.79,492.92,434.23,431.84,520.01,592.84,657.94,633.92,644.97,711.45,762.01,1018.86,1476.46,870.82,605.64,454.8,150.84,130.04,20.8
USA,1982,1,short,4,6,14050.72,492.25,355.83,157.33,182.32,318.88,319.66,316.36,328.02,339.74,303.33,385.52,672.64,863.16,1204.44,1547.76,1803.47,1870.82,1368.03,1221.16,844.45,376.71,300.55,76.16,63.62,12.54
USA,1982,1,short,4,7,398639.89,348,164.03,69.4,81.66,226.02,409.27,831.52,1428.07,3010.87,5646.21,10264.52,18484.2,29995.6,42651.46,53859.6,60967.36,59885.53,50410.82,59905.74,36159.57,23746.18,17779.18,5966.99,5098.75,868.24
